===============================================================================
                                     CVXPY                                     
                                     v1.4.2                                    
===============================================================================
(CVXPY) May 13 07:33:51 PM: Your problem has 1000 variables, 1 constraints, and 0 parameters.
(CVXPY) May 13 07:33:51 PM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) May 13 07:33:51 PM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) May 13 07:33:51 PM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) May 13 07:33:51 PM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) May 13 07:33:51 PM: Compiling problem (target solver=PDLP).
(CVXPY) May 13 07:33:51 PM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> PDLP
(CVXPY) May 13 07:33:51 PM: Applying reduction FlipObjective
(CVXPY) May 13 07:33:51 PM: Applying reduction Dcp2Cone
(CVXPY) May 13 07:33:51 PM: Applying reduction CvxAttr2Constr
(CVXPY) May 13 07:33:51 PM: Applying reduction ConeMatrixStuffing
(CVXPY) May 13 07:33:51 PM: Applying reduction PDLP
(CVXPY) May 13 07:33:51 PM: Finished problem compilation (took 6.096e-02 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) May 13 07:33:51 PM: Invoking solver PDLP  to obtain a solution.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
Problem stats before presolving and rescaling:
There are 1000 variables, 1500 constraints, and 3497 constraint matrix nonzeros.
Absolute values of nonzero constraint matrix elements: largest=1.000000, smallest=0.010000, avg=0.853886
Constraint matrix, infinity norm: max(row & col)=1.000000, min_col=1.000000, min_row=0.990000
Constraint bounds statistics (max absolute value per row): largest=1.000000, smallest=1.000000, avg=0.333333, l2_norm=22.360680
Absolute values of objective vector elements: largest=4.000000, smallest=1.000000, avg=0.504000, l2_norm=22.759613
Gaps between variable upper and lower bounds: #finite=0 of 1000, largest=0.000000, smallest=0.000000, avg=nan
Problem stats after presolving and rescaling:
There are 999 variables, 500 constraints, and 2496 constraint matrix nonzeros.
Absolute values of nonzero constraint matrix elements: largest=0.667416, smallest=0.018193, avg=0.421576
Constraint matrix, infinity norm: max(row & col)=0.667416, min_col=0.630777, min_row=0.178121
Constraint bounds statistics (max absolute value per row): largest=0.782700, smallest=0.212971, avg=0.772354, l2_norm=17.279439
Absolute values of objective vector elements: largest=30.431328, smallest=0.840962, avg=0.451364, l2_norm=35.792304
Gaps between variable upper and lower bounds: #finite=0 of 999, largest=0.000000, smallest=0.000000, avg=nan
 iter# kkt_pass   time | rel_prim_res rel_dual_res      rel_gap |   prim_resid   dual_resid      obj_gap |     prim_obj     dual_obj |  prim_var_l2  dual_var_l2
     0      0.0    0.0 |     0.956235     0.957912      0.00000 |      22.3383      22.7596      0.00000 |      0.00000      0.00000 |      100.000      0.00000
    64     64.0    0.0 |    0.0315113     0.200395   0.00975655 |     0.736126      4.76131      14.8838 |     -754.819     -769.703 |      49066.3      109.627
   128    128.0    0.0 |   0.00345385     0.114166   -0.0175038 |    0.0806844      2.71254     -27.7955 |     -807.382     -779.587 |      49304.2      111.830
   192    192.0    0.0 |   0.00188548     0.311662   -0.0208260 |    0.0440461      7.40498     -33.6761 |     -824.850     -791.174 |      49180.4      112.839
   256    256.0    0.0 |   0.00102339     0.319756   -0.0274979 |    0.0239071      7.59728     -44.8242 |     -836.960     -792.136 |      49143.8      112.781
   320    320.0    0.0 |   0.00524933    0.0960782   -0.0827875 |     0.122628      2.28278     -143.650 |     -938.906     -795.256 |      48849.4      113.228
   384    384.0    0.0 |   0.00823514    0.0935971    -0.119727 |     0.192378      2.22383     -216.425 |     -1011.54     -795.117 |      48668.5      113.250
   448    448.0    0.0 |   0.00372277    0.0936720    -0.151305 |    0.0869665      2.22561     -283.711 |     -1078.91     -795.195 |      48488.4      113.263
   512    512.0    0.0 |   0.00337575    0.0937522    -0.182193 |    0.0788599      2.22752     -354.563 |     -1149.83     -795.264 |      48317.9      113.277
   576    576.0    0.0 |    0.0896718    0.0522206    -0.464887 |      2.09480      1.24074     -1383.94 |     -2179.94     -795.998 |      46500.0      113.328
   640    640.0    0.0 |    0.0203004    0.0519654    -0.565055 |     0.474231      1.23468     -2070.69 |     -2867.14     -796.446 |      44382.3      113.421
   704    704.0    0.0 |      18.1373    0.0520824    -0.632869 |      423.699      1.23746     -2746.90 |     -3543.15     -796.249 |      3922.77      113.408
   768    768.0    0.0 |      17.4509    0.0509256    -0.680043 |      407.665      1.20997     -3385.36 |     -4181.26     -795.898 |      4835.26      113.379
   832    832.0    0.0 |      16.7448    0.0502120    -0.717757 |      391.171      1.19302     -4049.38 |     -4845.05     -795.668 |      5786.05      113.358
   896    896.0    0.0 |      16.0215    0.0497463    -0.746746 |      374.273      1.18195     -4694.22 |     -5489.73     -795.506 |      6709.61      113.345
 iter# kkt_pass   time | rel_prim_res rel_dual_res      rel_gap |   prim_resid   dual_resid      obj_gap |     prim_obj     dual_obj |  prim_var_l2  dual_var_l2
   960    960.0    0.0 |      15.3410    0.0494466    -0.769749 |      358.377      1.17483     -5321.61 |     -6117.02     -795.412 |      7606.87      113.339
  1024   1024.0    0.0 |      14.6376    0.0492059    -0.789691 |      341.944      1.16911     -5976.58 |     -6771.92     -795.335 |      8542.21      113.334
  1088   1094.0    0.0 |      33.1937    0.0297088    -0.935107 |      775.428     0.705869     -23042.4 |     -23841.4     -799.032 |      31119.3      113.328
